train/loss,time/total_timesteps,train/n_updates,time/episodes,train/learning_rate,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean
1.359575629234314,346,61,4,0.0001,-168.269479,3818,0,0.9671299999999998,86.5
2.7118098735809326,758,164,8,0.0001,-158.42583374999998,3736,0,0.9279899999999996,94.75
0.8360723257064819,1153,263,12,0.0001,-198.59473033333333,3744,0,0.8904649999999996,96.08333333333333
1.7809560298919678,1630,382,16,0.0001,-247.17006693750002,3737,0,0.8451500000000002,101.875
4.0560197830200195,2058,489,20,0.0001,-266.14596930000005,3740,0,0.8044899999999996,102.9
0.7963273525238037,2771,667,24,0.0001,-251.00249125000002,3689,0,0.7367549999999998,115.45833333333333
0.8509813547134399,3160,764,28,0.0001,-259.1760031071429,3674,0,0.6998000000000004,112.85714285714286
4.156066417694092,3807,926,32,0.0001,-242.49961624999997,3656,1,0.6383349999999995,118.96875
3.9127843379974365,5210,1277,36,0.0001,-233.90353419444443,3620,1,0.5050499999999998,144.72222222222223
1.1571629047393799,7282,1795,40,0.0001,-214.203825375,3574,2,0.3082100000000001,182.05
3.742187738418579,10171,2517,44,0.0001,-207.36597461363638,3500,2,0.05,231.1590909090909
2.4631922245025635,13089,3247,48,0.0001,-207.77638585416665,3441,3,0.05,272.6875
2.140956401824951,14524,3605,52,0.0001,-198.97019646153845,3417,4,0.05,279.3076923076923
1.793176293373108,15770,3917,56,0.0001,-201.30816930357145,3401,4,0.05,281.60714285714283
4.321933746337891,17068,4241,60,0.0001,-203.11260606666667,3390,5,0.05,284.46666666666664
1.8953754901885986,17881,4445,64,0.0001,-211.3023723125,3382,5,0.05,279.390625
3.3456060886383057,19365,4816,68,0.0001,-223.5598149264706,3374,5,0.05,284.77941176470586
1.7629125118255615,21145,5261,72,0.0001,-221.41495869444444,3361,6,0.05,293.68055555555554
0.8864332437515259,23629,5882,76,0.0001,-219.3721717105263,3347,7,0.05,310.9078947368421
1.0964819192886353,26985,6721,80,0.0001,-209.4294796875,3336,8,0.05,337.3125
1.3547849655151367,30471,7592,84,0.0001,-203.54820405952384,3332,9,0.05,362.75
1.3392854928970337,34471,8592,88,0.0001,-196.78513151136366,3324,10,0.05,391.71590909090907
3.959392786026001,38471,9592,92,0.0001,-191.27608861956523,3316,11,0.05,418.1630434782609
0.5741367936134338,42236,10533,96,0.0001,-182.73961165625,3314,12,0.05,439.9583333333333
0.8975474834442139,46236,11533,100,0.0001,-176.50574013000002,3308,13,0.05,462.36
0.8371808528900146,50236,12533,104,0.0001,-170.32026703999998,3304,15,0.05,498.9
0.7189174294471741,54236,13533,108,0.0001,-165.42370162,3303,16,0.05,534.78
0.7680693864822388,57720,14404,112,0.0001,-157.70975012,3300,17,0.05,565.67
0.5988487601280212,61561,15365,116,0.0001,-144.2953589,3297,18,0.05,599.31
0.990424394607544,64544,16110,120,0.0001,-134.78038860999996,3297,19,0.05,624.86
2.0406832695007324,68182,17020,124,0.0001,-126.61041521000001,3295,20,0.05,654.11
0.6750431656837463,71393,17823,128,0.0001,-110.19912479999999,3292,21,0.05,682.33
0.9780035018920898,74725,18656,132,0.0001,-104.8528371,3292,22,0.05,709.18
1.1030405759811401,78407,19576,136,0.0001,-95.58040255000002,3291,23,0.05,731.97
0.7606548070907593,82012,20477,140,0.0001,-88.18477133,3290,24,0.05,747.3
0.45770469307899475,85742,21410,144,0.0001,-79.81905654,3288,26,0.05,755.71
0.5608919262886047,89344,22310,148,0.0001,-71.96101164,3287,27,0.05,762.55
0.6930907368659973,93103,23250,152,0.0001,-63.28798507,3286,28,0.05,785.79
0.8557857275009155,96861,24190,156,0.0001,-53.77324603000001,3285,29,0.05,810.91
