train/loss,time/time_elapsed,rollout/exploration_rate,time/episodes,train/learning_rate,train/n_updates,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps
4.097410678863525,0,0.9635200000000004,4,0.0001,70,384,96.0,-119.87807375,4507
1.2409353256225586,0,0.9309350000000001,8,0.0001,156,727,90.875,-127.68492900000001,4243
4.7935791015625,0,0.8962599999999996,12,0.0001,247,1092,91.0,-118.70872691666669,4231
1.079573392868042,0,0.8524649999999996,16,0.0001,363,1553,97.0625,-142.9250901875,4215
1.8640872240066528,0,0.8126600000000004,20,0.0001,467,1972,98.6,-146.41132565000004,4231
1.2543461322784424,0,0.7774150000000005,24,0.0001,560,2343,97.625,-150.37921229166668,4220
1.3857941627502441,0,0.7368500000000004,28,0.0001,667,2770,98.92857142857143,-150.57118214285714,4175
1.0045802593231201,0,0.6890649999999996,32,0.0001,793,3273,102.28125,-162.13147221875,4143
0.8643686175346375,0,0.6326350000000002,36,0.0001,941,3867,107.41666666666667,-167.0260911944444,4108
4.194560527801514,1,0.5772500000000002,40,0.0001,1087,4450,111.25,-183.512225825,4079
4.271655082702637,1,0.5080899999999996,44,0.0001,1269,5178,117.68181818181819,-179.2309024090909,4054
0.9926364421844482,1,0.43028500000000036,48,0.0001,1474,5997,124.9375,-179.22427522916666,4024
4.057414531707764,1,0.3436450000000002,52,0.0001,1702,6909,132.8653846153846,-190.4519193461538,3998
1.2048462629318237,1,0.2622299999999995,56,0.0001,1916,7766,138.67857142857142,-196.5171070357143,3977
3.877112865447998,2,0.1379699999999996,60,0.0001,2243,9074,151.23333333333332,-196.8010722,3943
1.3591631650924683,2,0.08135000000000003,64,0.0001,2392,9670,151.09375,-202.599676078125,3915
1.1615318059921265,2,0.05,68,0.0001,2601,10507,154.51470588235293,-207.33352435294114,3886
1.2044711112976074,2,0.05,72,0.0001,2747,11091,154.04166666666666,-214.39909554166667,3869
0.9319028854370117,3,0.05,76,0.0001,3120,12582,165.55263157894737,-212.9892670394737,3839
1.2416810989379883,4,0.05,80,0.0001,3909,15737,196.7125,-211.98406649999998,3797
1.2935023307800293,4,0.05,84,0.0001,4680,18821,224.0595238095238,-210.83855552380953,3779
1.6387265920639038,5,0.05,88,0.0001,5242,21071,239.4431818181818,-212.5912985568182,3767
1.5355128049850464,5,0.05,92,0.0001,5561,22346,242.8913043478261,-221.81894243478263,3755
1.277857780456543,6,0.05,96,0.0001,6104,24518,255.39583333333334,-226.8052138125,3745
0.8936783075332642,7,0.05,100,0.0001,6791,27268,272.68,-228.17770768,3736
0.7676560282707214,7,0.05,104,0.0001,7196,28885,285.01,-232.88997093000006,3731
0.7587960958480835,8,0.05,108,0.0001,7965,31962,312.35,-233.4776473,3728
0.9091140031814575,9,0.05,112,0.0001,8508,34134,330.42,-234.83366202999997,3725
1.292863130569458,10,0.05,116,0.0001,9387,37652,360.99,-230.09021826,3718
0.9568083882331848,10,0.05,120,0.0001,10027,40210,382.38,-229.23769783999995,3714
0.6740750074386597,11,0.05,124,0.0001,10370,41581,392.38,-226.52576989999997,3712
4.380510330200195,11,0.05,128,0.0001,10831,43427,406.57,-226.87864452999995,3710
0.8451751470565796,12,0.05,132,0.0001,11134,44640,413.67,-222.08364144999996,3709
0.9061010479927063,12,0.05,136,0.0001,11355,45524,416.57,-219.98029304,3708
5.179717063903809,12,0.05,140,0.0001,11657,46730,422.8,-211.48022522,3707
1.038303017616272,12,0.05,144,0.0001,11854,47520,423.42,-211.56013504999996,3705
0.7218055129051208,13,0.05,148,0.0001,12208,48933,429.36,-210.89669397,3703
0.7647039890289307,13,0.05,152,0.0001,12393,49675,427.66,-205.53437198,3702
1.2540711164474487,13,0.05,156,0.0001,12579,50417,426.51,-201.09873758999996,3700
1.2683097124099731,13,0.05,160,0.0001,12757,51130,420.56,-199.73515126999996,3699
1.2313286066055298,13,0.05,164,0.0001,12900,51704,420.34,-197.09591876,3698
0.8826932907104492,14,0.05,168,0.0001,13135,52644,421.37,-193.53581865000004,3696
0.7433121204376221,14,0.05,172,0.0001,13318,53376,422.85,-187.35640694999998,3695
0.8187608122825623,14,0.05,176,0.0001,13488,54053,414.71,-185.34300103,3694
4.064617156982422,14,0.05,180,0.0001,13702,54911,391.74,-183.83936144000003,3693
6.823655605316162,15,0.05,184,0.0001,13865,55564,367.43,-183.88431476999997,3693
0.9891369938850403,15,0.05,188,0.0001,14070,56381,353.1,-179.64790876000006,3692
0.9648542404174805,15,0.05,192,0.0001,14226,57008,346.62,-170.51163399,3691
1.4781644344329834,15,0.05,196,0.0001,14386,57647,331.29,-164.45784583,3691
0.8440311551094055,15,0.05,200,0.0001,14569,58380,311.12,-159.19253334000004,3690
0.7072433829307556,15,0.05,204,0.0001,14715,58963,300.78,-158.54023455,3689
0.9989897608757019,16,0.05,208,0.0001,14886,59645,276.83,-160.31376962000002,3688
0.7279640436172485,16,0.05,212,0.0001,15009,60140,260.06,-161.4943632,3687
0.8008843064308167,16,0.05,216,0.0001,15201,60907,232.55,-166.64012676,3686
0.7825100421905518,16,0.05,220,0.0001,15380,61624,214.14,-170.40146158,3684
1.00228750705719,16,0.05,224,0.0001,15583,62436,208.55,-174.27197581000001,3683
0.633872926235199,17,0.05,228,0.0001,15753,63113,196.86,-175.16581142000004,3681
1.1797558069229126,17,0.05,232,0.0001,15923,63794,191.54,-179.20452618000002,3679
0.758909285068512,17,0.05,236,0.0001,16134,64638,191.14,-181.19855405,3679
1.0377638339996338,17,0.05,240,0.0001,16328,65413,186.83,-184.74827847,3678
0.8695974349975586,18,0.05,244,0.0001,16557,66332,188.12,-189.01333806000002,3677
1.1074167490005493,18,0.05,248,0.0001,16794,67279,183.46,-191.53034248,3676
0.9283537268638611,18,0.05,252,0.0001,16932,67830,181.55,-190.77886039999999,3676
0.9706010818481445,18,0.05,256,0.0001,17077,68412,179.95,-191.82538345999993,3675
0.8815103769302368,19,0.05,260,0.0001,17491,70068,189.38,-193.67687106999998,3676
0.862462043762207,19,0.05,264,0.0001,17925,71802,200.98,-193.70159913999996,3676
3.1570379734039307,20,0.05,268,0.0001,18407,73729,210.85,-195.78894678,3675
0.7860803008079529,20,0.05,272,0.0001,18772,75191,218.15,-198.51092813,3674
0.7952051162719727,20,0.05,276,0.0001,19095,76483,224.3,-202.24200903000002,3673
1.0514544248580933,21,0.05,280,0.0001,19373,77596,226.85,-203.29941388999998,3672
0.6836305260658264,21,0.05,284,0.0001,19687,78849,232.85,-205.56309654000003,3671
0.7594422698020935,21,0.05,288,0.0001,20100,80503,241.22,-209.31833107,3671
0.5332480669021606,22,0.05,292,0.0001,20581,82425,254.17,-209.35337108999997,3671
