train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,time/episodes
1.4235312938690186,-114.91405999999999,75.25,0.0001,50,0,1831,301,0.9714050000000004,4
1.1947391033172607,-142.296383125,92.5,0.0001,159,0,1852,740,0.9297000000000004,8
0.8256706595420837,-172.1120986666667,91.41666666666667,0.0001,249,0,1850,1097,0.8957849999999997,12
1.2372404336929321,-185.425252875,92.4375,0.0001,344,0,1838,1479,0.8594950000000003,16
4.3015570640563965,-201.10922805,91.35,0.0001,431,0,1833,1827,0.8264349999999999,20
1.5545870065689087,-200.781891,90.95833333333333,0.0001,520,1,1830,2183,0.7926149999999998,24
0.9095368981361389,-206.42841753571432,94.14285714285714,0.0001,633,1,1817,2636,0.7495799999999995,28
1.2370750904083252,-230.486965875,109.90625,0.0001,854,1,1811,3517,0.6658849999999997,32
0.748741090297699,-237.62869708333335,115.5,0.0001,1014,2,1810,4158,0.6049900000000005,36
4.17450475692749,-221.10606017499998,116.875,0.0001,1143,2,1805,4675,0.5558750000000005,40
1.559253454208374,-212.8230704318182,134.5,0.0001,1454,3,1794,5918,0.43779,44
1.6050245761871338,-208.15650697916666,158.64583333333334,0.0001,1878,4,1790,7615,0.2765750000000007,48
1.203823208808899,-200.52588321153843,223.3653846153846,0.0001,2878,6,1763,11615,0.05,52
1.5826714038848877,-196.0289748214286,236.69642857142858,0.0001,3288,7,1757,13255,0.05,56
1.000981092453003,-200.23341623333334,257.3666666666667,0.0001,3835,8,1753,15442,0.05,60
1.6523406505584717,-194.453925453125,265.65625,0.0001,4225,9,1747,17002,0.05,64
1.3256651163101196,-191.9009655882353,271.80882352941177,0.0001,4595,10,1743,18483,0.05,68
1.2524125576019287,-193.21403348611113,290.5416666666667,0.0001,5204,12,1740,20919,0.05,72
1.258387565612793,-194.16593339473687,285.75,0.0001,5404,12,1738,21717,0.05,76
1.627440094947815,-194.49276582500002,280.425,0.0001,5583,12,1737,22434,0.05,80
1.5733007192611694,-195.13627126190477,284.0357142857143,0.0001,5939,13,1734,23859,0.05,84
1.199357509613037,-194.9137864545455,288.6818181818182,0.0001,6325,14,1733,25404,0.05,88
1.4450017213821411,-192.6259763478261,301.57608695652175,0.0001,6911,16,1730,27745,0.05,92
0.932479977607727,-191.5365132916667,302.8854166666667,0.0001,7244,16,1728,29077,0.05,96
1.2245159149169922,-189.90738846000005,314.97,0.0001,7849,18,1725,31497,0.05,100
1.1600266695022583,-193.72024474000003,334.1,0.0001,8402,19,1723,33711,0.05,104
1.678721308708191,-199.14931102000003,351.89,0.0001,8957,20,1722,35929,0.05,108
1.0077561140060425,-196.43416122000002,370.21,0.0001,9504,22,1722,38118,0.05,112
0.764920711517334,-204.70217058000003,380.02,0.0001,9845,22,1721,39481,0.05,116
1.0261529684066772,-215.40610798999998,381.6,0.0001,9971,23,1721,39987,0.05,120
1.4252625703811646,-228.52334673999997,383.81,0.0001,10115,23,1720,40564,0.05,124
1.7548658847808838,-236.62707194000004,385.15,0.0001,10262,23,1720,41151,0.05,128
2.026538133621216,-229.66533628000005,382.12,0.0001,10407,24,1720,41729,0.05,132
1.577122449874878,-227.97757213,381.15,0.0001,10543,24,1719,42273,0.05,136
1.312461256980896,-220.39361978999997,394.08,0.0001,10995,25,1719,44083,0.05,140
1.1759593486785889,-215.02823464000002,405.61,0.0001,11594,27,1717,46479,0.05,144
1.6877477169036865,-212.43625496,394.85,0.0001,11749,27,1716,47100,0.05,148
0.8641347885131836,-207.32896533,365.57,0.0001,12017,28,1716,48172,0.05,152
0.9541799426078796,-202.65096898999997,357.77,0.0001,12232,28,1716,49032,0.05,156
2.0641775131225586,-191.57647285000002,348.46,0.0001,12546,29,1715,50288,0.05,160
1.1741173267364502,-181.93010047999996,347.77,0.0001,12919,30,1714,51779,0.05,164
1.6429650783538818,-175.47192413000002,344.56,0.0001,13209,30,1713,52939,0.05,168
2.2102301120758057,-164.28207864999993,329.95,0.0001,13453,31,1712,53914,0.05,172
1.2872178554534912,-155.61011655000001,331.31,0.0001,13686,32,1712,54848,0.05,176
1.185212254524231,-146.70749550000002,341.63,0.0001,14124,33,1712,56597,0.05,180
0.7812196612358093,-131.57843246000002,354.18,0.0001,14794,34,1710,59277,0.05,184
1.1245782375335693,-122.26890768,369.88,0.0001,15572,36,1710,62392,0.05,188
1.1711808443069458,-119.69794707000001,381.64,0.0001,16452,38,1709,65909,0.05,192
1.0340031385421753,-119.45044726,392.2,0.0001,17049,39,1708,68297,0.05,196
1.1928472518920898,-116.68806024999999,397.65,0.0001,17790,41,1708,71262,0.05,200
0.6876745223999023,-114.9824049,393.87,0.0001,18249,42,1708,73098,0.05,204
0.987410843372345,-109.56133675,400.23,0.0001,18962,44,1708,75952,0.05,208
4.8018012046813965,-107.96381442,400.18,0.0001,19508,45,1707,78136,0.05,212
1.231812834739685,-94.11635765999998,417.3,0.0001,20277,47,1706,81211,0.05,216
0.8635985851287842,-77.76144762,451.67,0.0001,21263,49,1707,85154,0.05,220
1.2109558582305908,-57.422753359999994,482.23,0.0001,22171,52,1706,88787,0.05,224
0.5453050136566162,-41.11695004999999,516.3,0.0001,23170,54,1703,92781,0.05,228
0.7074688673019409,-30.65746604,545.82,0.0001,24052,56,1703,96311,0.05,232
1.441985011100769,-20.920277949999996,576.75,0.0001,24961,58,1703,99948,0.05,236
